;grid;letters;locs;encoding_stim;incorr_locs;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc
1269;"[array([['Х', 'Ш', 'Х'],
       ['Ф', 'Х', 'Т'],
       ['Х', 'Х', 'М']], dtype='<U1')]";['Ш', 'Ф', 'Т', 'М'];[1, 3, 5, 8];grid_4458.png;[0, 2, 6, 7];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 1, 7, 6];[0, 2, 3, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1270;"[array([['Х', 'Т', 'Х'],
       ['Ш', 'Х', 'Х'],
       ['М', 'Ф', 'Х']], dtype='<U1')]";['Т', 'Ш', 'М', 'Ф'];[1, 3, 6, 7];grid_4459.png;[0, 2, 5, 8];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 1, 0, 3];[2, 6, 7, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1271;"[array([['Х', 'Ф', 'Х'],
       ['М', 'Х', 'Х'],
       ['Т', 'Х', 'Ш']], dtype='<U1')]";['Ф', 'М', 'Т', 'Ш'];[1, 3, 6, 8];grid_4460.png;[0, 2, 5, 7];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 1, 0, 6];[2, 3, 7, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1272;"[array([['Х', 'Ф', 'Х'],
       ['Т', 'Х', 'Х'],
       ['Х', 'М', 'Ш']], dtype='<U1')]";['Ф', 'Т', 'М', 'Ш'];[1, 3, 7, 8];grid_4461.png;[0, 2, 5, 6];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 1, 3, 6];[0, 2, 7, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1273;"[array([['Х', 'Ш', 'Х'],
       ['Х', 'Х', 'Ф'],
       ['М', 'Т', 'Х']], dtype='<U1')]";['Ш', 'Ф', 'М', 'Т'];[1, 5, 6, 7];grid_4462.png;[0, 2, 3, 8];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 7, 0, 3];[1, 2, 6, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1274;"[array([['Х', 'Ш', 'Х'],
       ['Х', 'Х', 'Т'],
       ['Ф', 'Х', 'М']], dtype='<U1')]";['Ш', 'Т', 'Ф', 'М'];[1, 5, 6, 8];grid_4463.png;[0, 2, 3, 7];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 7, 0, 6];[1, 2, 3, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1275;"[array([['Х', 'Ф', 'Х'],
       ['Х', 'Х', 'М'],
       ['Х', 'Ш', 'Т']], dtype='<U1')]";['Ф', 'М', 'Ш', 'Т'];[1, 5, 7, 8];grid_4464.png;[0, 2, 3, 6];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 7, 3, 6];[0, 1, 2, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1276;"[array([['Х', 'Т', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Ф', 'Ш', 'М']], dtype='<U1')]";['Т', 'Ф', 'Ш', 'М'];[1, 6, 7, 8];grid_4465.png;[0, 2, 3, 5];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[5, 0, 3, 6];[1, 2, 7, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1277;"[array([['Х', 'Х', 'Ф'],
       ['Т', 'Х', 'Ш'],
       ['М', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Т', 'Ш', 'М'];[2, 3, 5, 6];grid_4466.png;[0, 1, 7, 8];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 1, 7, 0];[2, 3, 5, 6];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1278;"[array([['Х', 'Х', 'Ф'],
       ['М', 'Х', 'Ш'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['Ф', 'М', 'Ш', 'Т'];[2, 3, 5, 7];grid_4467.png;[0, 1, 6, 8];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 1, 7, 3];[0, 2, 5, 6];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1279;"[array([['Х', 'Х', 'М'],
       ['Ш', 'Х', 'Ф'],
       ['Х', 'Х', 'Т']], dtype='<U1')]";['М', 'Ш', 'Ф', 'Т'];[2, 3, 5, 8];grid_4468.png;[0, 1, 6, 7];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 1, 7, 6];[0, 2, 3, 5];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1280;"[array([['Х', 'Х', 'Ф'],
       ['М', 'Х', 'Х'],
       ['Т', 'Ш', 'Х']], dtype='<U1')]";['Ф', 'М', 'Т', 'Ш'];[2, 3, 6, 7];grid_4469.png;[0, 1, 5, 8];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 1, 0, 3];[2, 5, 6, 7];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1281;"[array([['Х', 'Х', 'Ф'],
       ['Ш', 'Х', 'Х'],
       ['Т', 'Х', 'М']], dtype='<U1')]";['Ф', 'Ш', 'Т', 'М'];[2, 3, 6, 8];grid_4470.png;[0, 1, 5, 7];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 1, 0, 6];[2, 3, 5, 7];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1282;"[array([['Х', 'Х', 'Ш'],
       ['М', 'Х', 'Х'],
       ['Х', 'Т', 'Ф']], dtype='<U1')]";['Ш', 'М', 'Т', 'Ф'];[2, 3, 7, 8];grid_4471.png;[0, 1, 5, 6];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 1, 3, 6];[0, 2, 5, 7];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1283;"[array([['Х', 'Х', 'Ф'],
       ['Х', 'Х', 'Ш'],
       ['М', 'Т', 'Х']], dtype='<U1')]";['Ф', 'Ш', 'М', 'Т'];[2, 5, 6, 7];grid_4472.png;[0, 1, 3, 8];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 7, 0, 3];[1, 2, 5, 6];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1284;"[array([['Х', 'Х', 'Ф'],
       ['Х', 'Х', 'Т'],
       ['М', 'Х', 'Ш']], dtype='<U1')]";['Ф', 'Т', 'М', 'Ш'];[2, 5, 6, 8];grid_4473.png;[0, 1, 3, 7];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 7, 0, 6];[1, 2, 3, 5];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1285;"[array([['Х', 'Х', 'Ф'],
       ['Х', 'Х', 'Ш'],
       ['Х', 'М', 'Т']], dtype='<U1')]";['Ф', 'Ш', 'М', 'Т'];[2, 5, 7, 8];grid_4474.png;[0, 1, 3, 6];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 7, 3, 6];[0, 1, 2, 5];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1286;"[array([['Х', 'Х', 'М'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Ф', 'Ш']], dtype='<U1')]";['М', 'Т', 'Ф', 'Ш'];[2, 6, 7, 8];grid_4475.png;[0, 1, 3, 5];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[8, 0, 3, 6];[1, 2, 5, 7];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1287;"[array([['Х', 'Х', 'Х'],
       ['М', 'Х', 'Ф'],
       ['Ш', 'Т', 'Х']], dtype='<U1')]";['М', 'Ф', 'Ш', 'Т'];[3, 5, 6, 7];grid_4476.png;[0, 1, 2, 8];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[1, 7, 0, 3];[2, 5, 6, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1288;"[array([['Х', 'Х', 'Х'],
       ['М', 'Х', 'Т'],
       ['Ш', 'Х', 'Ф']], dtype='<U1')]";['М', 'Т', 'Ш', 'Ф'];[3, 5, 6, 8];grid_4477.png;[0, 1, 2, 7];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[1, 7, 0, 6];[2, 3, 5, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1289;"[array([['Х', 'Х', 'Х'],
       ['М', 'Х', 'Ш'],
       ['Х', 'Т', 'Ф']], dtype='<U1')]";['М', 'Ш', 'Т', 'Ф'];[3, 5, 7, 8];grid_4478.png;[0, 1, 2, 6];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[1, 7, 3, 6];[0, 2, 5, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1290;"[array([['Х', 'Х', 'Х'],
       ['Ф', 'Х', 'Х'],
       ['Т', 'Ш', 'М']], dtype='<U1')]";['Ф', 'Т', 'Ш', 'М'];[3, 6, 7, 8];grid_4479.png;[0, 1, 2, 5];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[1, 0, 3, 6];[2, 5, 7, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1291;"[array([['Х', 'Х', 'Х'],
       ['Х', 'Х', 'Ф'],
       ['Т', 'М', 'Ш']], dtype='<U1')]";['Ф', 'Т', 'М', 'Ш'];[5, 6, 7, 8];grid_4480.png;[0, 1, 2, 3];['Л', 'К', 'Д', 'П', 'Г', 'Ж'];[7, 0, 3, 6];[1, 2, 5, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]}
1292;"[array([['Т', 'Ж', 'Ф'],
       ['П', 'Х', 'Х'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Т', 'Ж', 'Ф', 'П'];[0, 1, 2, 3];grid_5461.png;[5, 6, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 8, 1];[0, 3, 6, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1293;"[array([['П', 'Т', 'Ж'],
       ['Х', 'Х', 'Ф'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['П', 'Т', 'Ж', 'Ф'];[0, 1, 2, 5];grid_5462.png;[3, 6, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 8, 7];[0, 1, 3, 6];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1294;"[array([['П', 'Ж', 'Ф'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Х', 'Х']], dtype='<U1')]";['П', 'Ж', 'Ф', 'Т'];[0, 1, 2, 6];grid_5463.png;[3, 5, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 8, 0];[1, 3, 6, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1295;"[array([['Ж', 'Ф', 'Т'],
       ['Х', 'Х', 'Х'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Ж', 'Ф', 'Т', 'П'];[0, 1, 2, 7];grid_5464.png;[3, 5, 6, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 8, 3];[0, 1, 6, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1296;"[array([['Ф', 'П', 'Т'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Х', 'Ж']], dtype='<U1')]";['Ф', 'П', 'Т', 'Ж'];[0, 1, 2, 8];grid_5465.png;[3, 5, 6, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 8, 6];[0, 1, 3, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1297;"[array([['Ж', 'П', 'Х'],
       ['Ф', 'Х', 'Т'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Ж', 'П', 'Ф', 'Т'];[0, 1, 3, 5];grid_5466.png;[2, 6, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 1, 7];[0, 3, 6, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1298;"[array([['Ж', 'Ф', 'Х'],
       ['Т', 'Х', 'Х'],
       ['П', 'Х', 'Х']], dtype='<U1')]";['Ж', 'Ф', 'Т', 'П'];[0, 1, 3, 6];grid_5467.png;[2, 5, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 1, 0];[3, 6, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1299;"[array([['Т', 'П', 'Х'],
       ['Ф', 'Х', 'Х'],
       ['Х', 'Ж', 'Х']], dtype='<U1')]";['Т', 'П', 'Ф', 'Ж'];[0, 1, 3, 7];grid_5468.png;[2, 5, 6, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 1, 3];[0, 6, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1300;"[array([['Т', 'Ж', 'Х'],
       ['П', 'Х', 'Х'],
       ['Х', 'Х', 'Ф']], dtype='<U1')]";['Т', 'Ж', 'П', 'Ф'];[0, 1, 3, 8];grid_5469.png;[2, 5, 6, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 1, 6];[0, 3, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1301;"[array([['П', 'Ж', 'Х'],
       ['Х', 'Х', 'Т'],
       ['Ф', 'Х', 'Х']], dtype='<U1')]";['П', 'Ж', 'Т', 'Ф'];[0, 1, 5, 6];grid_5470.png;[2, 3, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 7, 0];[1, 3, 6, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1302;"[array([['Т', 'Ф', 'Х'],
       ['Х', 'Х', 'Ж'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Т', 'Ф', 'Ж', 'П'];[0, 1, 5, 7];grid_5471.png;[2, 3, 6, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 7, 3];[0, 1, 6, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1303;"[array([['Т', 'П', 'Х'],
       ['Х', 'Х', 'Ж'],
       ['Х', 'Х', 'Ф']], dtype='<U1')]";['Т', 'П', 'Ж', 'Ф'];[0, 1, 5, 8];grid_5472.png;[2, 3, 6, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 7, 6];[0, 1, 3, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1304;"[array([['Ф', 'П', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Ж', 'Х']], dtype='<U1')]";['Ф', 'П', 'Т', 'Ж'];[0, 1, 6, 7];grid_5473.png;[2, 3, 5, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 0, 3];[1, 6, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1305;"[array([['Т', 'П', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Ф', 'Х', 'Ж']], dtype='<U1')]";['Т', 'П', 'Ф', 'Ж'];[0, 1, 6, 8];grid_5474.png;[2, 3, 5, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 0, 6];[1, 3, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1306;"[array([['Ф', 'П', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ж', 'Т']], dtype='<U1')]";['Ф', 'П', 'Ж', 'Т'];[0, 1, 7, 8];grid_5475.png;[2, 3, 5, 6];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 5, 3, 6];[0, 1, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1307;"[array([['П', 'Х', 'Ж'],
       ['Т', 'Х', 'Ф'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['П', 'Ж', 'Т', 'Ф'];[0, 2, 3, 5];grid_5476.png;[1, 6, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 1, 7];[0, 3, 5, 6];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1308;"[array([['Ж', 'Х', 'П'],
       ['Т', 'Х', 'Х'],
       ['Ф', 'Х', 'Х']], dtype='<U1')]";['Ж', 'П', 'Т', 'Ф'];[0, 2, 3, 6];grid_5477.png;[1, 5, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 1, 0];[3, 5, 6, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1309;"[array([['П', 'Х', 'Т'],
       ['Ф', 'Х', 'Х'],
       ['Х', 'Ж', 'Х']], dtype='<U1')]";['П', 'Т', 'Ф', 'Ж'];[0, 2, 3, 7];grid_5478.png;[1, 5, 6, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 1, 3];[0, 5, 6, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1310;"[array([['Ж', 'Х', 'Ф'],
       ['Т', 'Х', 'Х'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Ж', 'Ф', 'Т', 'П'];[0, 2, 3, 8];grid_5479.png;[1, 5, 6, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 1, 6];[0, 3, 5, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1311;"[array([['Т', 'Х', 'П'],
       ['Х', 'Х', 'Ф'],
       ['Ж', 'Х', 'Х']], dtype='<U1')]";['Т', 'П', 'Ф', 'Ж'];[0, 2, 5, 6];grid_5480.png;[1, 3, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 7, 0];[1, 3, 5, 6];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1312;"[array([['Ф', 'Х', 'П'],
       ['Х', 'Х', 'Ж'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['Ф', 'П', 'Ж', 'Т'];[0, 2, 5, 7];grid_5481.png;[1, 3, 6, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 7, 3];[0, 1, 5, 6];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1313;"[array([['Ф', 'Х', 'Т'],
       ['Х', 'Х', 'Ж'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Ф', 'Т', 'Ж', 'П'];[0, 2, 5, 8];grid_5482.png;[1, 3, 6, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 7, 6];[0, 1, 3, 5];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1314;"[array([['П', 'Х', 'Ж'],
       ['Х', 'Х', 'Х'],
       ['Ф', 'Т', 'Х']], dtype='<U1')]";['П', 'Ж', 'Ф', 'Т'];[0, 2, 6, 7];grid_5483.png;[1, 3, 5, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 0, 3];[1, 5, 6, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1315;"[array([['П', 'Х', 'Т'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ж', 'Ф']], dtype='<U1')]";['П', 'Т', 'Ж', 'Ф'];[0, 2, 7, 8];grid_5485.png;[1, 3, 5, 6];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 8, 3, 6];[0, 1, 5, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1316;"[array([['Ф', 'Х', 'Х'],
       ['П', 'Х', 'Ж'],
       ['Т', 'Х', 'Х']], dtype='<U1')]";['Ф', 'П', 'Ж', 'Т'];[0, 3, 5, 6];grid_5486.png;[1, 2, 7, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 1, 7, 0];[3, 5, 6, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1317;"[array([['Ж', 'Х', 'Х'],
       ['П', 'Х', 'Т'],
       ['Х', 'Ф', 'Х']], dtype='<U1')]";['Ж', 'П', 'Т', 'Ф'];[0, 3, 5, 7];grid_5487.png;[1, 2, 6, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 1, 7, 3];[0, 5, 6, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1318;"[array([['Ж', 'Х', 'Х'],
       ['Т', 'Х', 'П'],
       ['Х', 'Х', 'Ф']], dtype='<U1')]";['Ж', 'Т', 'П', 'Ф'];[0, 3, 5, 8];grid_5488.png;[1, 2, 6, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 1, 7, 6];[0, 3, 5, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1319;"[array([['П', 'Х', 'Х'],
       ['Ж', 'Х', 'Х'],
       ['Ф', 'Т', 'Х']], dtype='<U1')]";['П', 'Ж', 'Ф', 'Т'];[0, 3, 6, 7];grid_5489.png;[1, 2, 5, 8];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 1, 0, 3];[5, 6, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
1320;"[array([['Ф', 'Х', 'Х'],
       ['Т', 'Х', 'Х'],
       ['П', 'Х', 'Ж']], dtype='<U1')]";['Ф', 'Т', 'П', 'Ж'];[0, 3, 6, 8];grid_5490.png;[1, 2, 5, 7];['Л', 'К', 'М', 'Д', 'Г', 'Ш'];[2, 1, 0, 6];[3, 5, 7, 8];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]}
